Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande
"A","Acessórios",3116242,"adn40019","Adipômetro Clínico Prime NeO - Azul",150,"Com nova tecnologia o adipômetro Prime NeO é o único fabricado 100% em alumínio e sua fabricação utiliza técnica de espelhamento de peças, que lhe confere maior precisão.

","","",False,5,2,True,0,0,278,207.5,0,0,15/09/2011,17/09/2011,False,False,"","","","","","","","","","",0,,1328,"",,0,0,13438,"","",5,0,,True,False
"A","Acessórios",1538811,"clc20000","Calculadora Eletrônica KK-2201",100,"Calculadora Eletrônica com cordão de segurança.
- 8 digitos
- desligamento automatico
- bip de teclado Keytone
- display de facil leitura
","Calculadora Eletrônica com cordão de segurança.

- 8 digitos
- desligamento automatico
- bip de teclado Keytone
- display de facil leitura
- teclado de borracha","",False,50,2,True,0,0,10,8,0,0,02/02/2011,04/02/2011,False,False,"ST220190.JPG","ST2201200.JPG","ST2201400.JPG","","","19626","","","","",0,,4,"",,0,0,14873,"","calculadora digital,calculadora eletronica,calculadora st-2201,calculadora com barbante de seguranca",4,0,,True,False
"A","Acessórios",1538819,"clc30000","Calculadora Eletrônica KK-5230A",100,"Calculadora Eletrônica com cordão de segurança.
- 8 digitos
- desligamento automatico
- bip de teclado Keytone
- display de facil leitura
","Calculadora Eletrônica com cordão de segurança.

- 8 digitos
- desligamento automatico
- bip de teclado Keytone
- display de facil leitura
- teclado de borracha


","",False,10,2,False,0,4,10,0,0,0,,,False,False,"kk523090.jpg","kk5230200.jpg","kk5230400.jpg","","","19626","","","","",0,,16,"cro40001,Kit00003,Kta00004",,0,0,,"","calculadora,calculadora digital,calculadora eletronica,calculadora kk5230a,calculadora com cordao",4,0,,True,False
"A","Acessórios",1538788,"clc10000","Calculadora Eletrônica KK-8990A",100,"Calculadora Eletrônica com cordão de segurança.
- 8 digitos
- desligamento automatico
- bip de teclado Keytone
- display de facil leitura
","Calculadora Eletrônica com cordão de segurança.

- 8 digitos
- desligamento automatico
- bip de teclado Keytone
- display de facil leitura
- teclado de borracha



","",False,10,2,False,0,0,10,0,0,0,,,False,False,"kk899090.jpg","kk8990200.jpg","kk8990400.jpg","","","19626","","","","",0,,,"clc30000,clc10000,clc40000",,0,0,,"","calculadora,calculadora digital,calculadora eletronica,calculadora kk8990",4,0,,True,False
"A","Acessórios",1538977,"clc40000","Calculadora Régua P-858",150,"A Regua + Calculadora 2 em 1 Traça segmentos de reta em centímetro e polegada

- 20 cm de medição;
- Dimensão: 21 x 5,2 x 0,9 cm
- Calculadora de 8 dígitos;
- Visor grande;
- Teclas de borracha;","A Regua + Calculadora 2 em 1 Traça segmentos de reta em centímetro e polegada, excelente para o uso no dia-a-dia.

- 20 cm de medição;
- Dimensão: 21 x 5,2 x 0,9 cm
- Calculadora de 8 dígitos;
- Visor grande;
- Teclas de borracha.

Garantia de 3 Meses.","",False,2,2,True,0,8,15,0,0,0,,,False,False,"p858100.jpg","p858200.jpg","p858400.jpg","","","19626","","","","",0,,,"clc40000,adn40000,adp50003,Kta00003",,0,0,,"","calculadora,calculadora regua,calculadora digital com regua,calculadora com regua digital,calculadora eletronica regua,regua com calculadora,calculadora eletronica de regua",4,4,,True,False
"A","Acessórios",2548764,"imc00000","Disco para Calcúlo de Massa Corporal - IMC",30,"Conheça o seu Índice de Massa Corporal, um método fácil no qual qualquer um pode obter uma indicação, se está abaixo do peso, no peso ideal, acima do peso ou obeso. Fácil utilização.","Basta alinhar a altura ao peso e o resultado do IMC é indicado pela seta.

Conheça o seu Índice de Massa Corporal, um método fácil no qual qualquer um pode obter uma indicação, com bom grau de acuidade, se está abaixo do peso, no peso ideal, acima do peso ou obeso.


Características:

•  disco feito em material resistente;
•  apresenta o cálculo do IMC diretamente;
•  apresenta a constituição da pessoa segundo o IMC;
•  excelente como material didático.
•  fácil utilização

","",False,1177,10,True,0,1.5,7,6.25,0,0,26/10/2010,01/11/2011,False,True,"imcter100.gif","imcter200.gif","imcter400.gif","","","38586","","","","",0,,1328,"",,0,0,13438,"","disco de imc,indice de massa corporal,calculo imc,calcular o imc,disco para calculo do imc,disco de indice do imc",6,6,,True,False
"A","Acessórios",3116084,"ktp00015","Kit Profissional de Avaliação Física 4.7 c/ Adipômetro Científico Digital DGI",500,"Itens principais:
Adipômetro Científico Digital DG + Esfigmomanometro + Estetoscópio + Trena + Lápis + Caneta + Disco IMC + Calculadora + Cronometro + Software

","","",False,2,0,True,0,0,2000,1245,0,0,15/09/2011,17/09/2011,False,False,"","","","","","","","","","",0,,1328,"",,0,0,13438,"","",6,6,,True,False
"A","Acessórios",3116092,"Ktp00016","Kit Profissional de Personal Trainer Best Mais 7.1",500,"","","",False,4,0,True,0,0,2000,1300,0,0,15/09/2011,17/09/2011,False,False,"","","","","","","","","","",0,,1328,"",,0,0,13438,"","",6,0,,True,False
"A","Acessórios",1832808,"lpd00000","Lápis Dermográfico",20,"Lápis dermatográfico para marcação da posição anatômica.
Ideal para marcações das dobras cutâneas para a sua avaliação física.","Lápis dermatográfico para marcação da posição anatômica exata.

Cor: Preta
Não tóxico.","",False,22,5,True,0,1.6,10,9.5,0,0,19/05/2010,20/11/2011,False,False,"lapisder100.gif","lapisder200.gif","lapisder400.gif","","","27219","","","","",0,,983,"clc40000,adn40000,adp50003,Kta00003",,0,0,14873,"","lapis dermografico,lapis dermatografico,lapis para avaliacao fisica,lapis de marcacao,lapis composicao corporal,lapis de marcacao do corpo,lapis mitsubish,lapis dermatografico anatomico,dobras cutanea",3,3,,True,False
"A","Acessórios",2105459,"Mlt00000","Maleta Kit Profissional",400,"Maleta para transporte com encaixe dos itens para avaliação física.","Maleta para transporte com encaixe dos itens para avaliação física.

Transporte com segurança os equipamentos para a sua avaliação física.

Acompanha Alça com encaixe para facilitar o transporte.

Cor Externa: Preta
Cor Interna: Laranja

Fabricante: Terrazul
","",False,482,1,True,0,30,93,88.35,0,0,12/11/2010,19/11/2011,False,False,"maletprof100.gif","maletprof200.gif","maletprof400.gif","","","29862,32189","","","","",0,,983,"",,0,0,14873,"","Maleta para Avaliacao fisica,estojo para avaliacao fisica,suporte para adipometro,suporte de material de avaliacao fisica,mala de avaliacao fisica,maleta de avaliacao fisica",3,3,,True,False
